Entry,Sample1,Sample2,Base,Solvent,Product
,OC(C)C1=C(NS(=O)(C(F)(F)F)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NS(=O)(C(F)(F)F)=O)C=CC=C2
43,OC(C)C1=C(NS(C2=CC=C(C)C=C2)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
,OC(C)C1=C(NS(C2=CC=C(C)C=C2)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NS(C3=CC=C(C)C=C3)(=O)=O)C=CC=C2
44,OC(C)C1=C(NS(C)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
,OC(C)C1=C(NS(C)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NS(C)(=O)=O)C=CC=C2
45,OC(C)C1=C(NC)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NC)C=CC=C2
46,OC(C)C1=CC=CC(O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(O)=C2
47,OC(C)C1=CC=CC([N+]([O-])=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC([N+]([O-])=O)=C2
48,OC(C)C1=CC=CC(C(OCC)=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(C(OCC)=O)=C2
49,OC(C)C1=CC=CC(F)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(F)=C2
